timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773960412030,504,HTTP Request,200,OK,Baseline Test 1-1,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,500,0,279
1773960412955,512,HTTP Request,200,OK,Baseline Test 1-2,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,511,0,52
1773960413955,187,HTTP Request,200,OK,Baseline Test 1-3,text,true,,287,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,187,0,51
1773960414952,501,HTTP Request,200,OK,Baseline Test 1-4,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,501,0,52
1773960415952,184,HTTP Request,200,OK,Baseline Test 1-5,text,true,,287,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,184,0,52
1773960416953,452,HTTP Request,200,OK,Baseline Test 1-6,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,452,0,52
1773960417952,255,HTTP Request,200,OK,Baseline Test 1-7,text,true,,287,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,255,0,50
1773960418951,309,HTTP Request,200,OK,Baseline Test 1-8,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,309,0,50
1773960419959,246,HTTP Request,200,OK,Baseline Test 1-9,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,246,0,51
1773960420951,301,HTTP Request,200,OK,Baseline Test 1-10,text,true,,288,150,1,1,https://cqctxs--ai-matching-backend-matchapp-match.modal.run/,301,0,49
