test_id,channel_id,rtt_seconds
0,1484428147838685275,0.5459
30,1484428151361638541,0.6681
120,1484428158244491324,0.5434
210,1484428165148573806,0.6159
240,1484428167660830811,0.6746
40,1484428152007557271,1.1416
10,1484428149281263616,1.2285
330,1484428174933622945,0.6174
20,1484428150170451978,1.2395
110,1484428157556887633,1.0486
50,1484428152632508488,1.2061
60,1484428153467441263,1.2015
100,1484428156894183434,1.1406
70,1484428154490716200,1.2101
150,1484428160253825024,1.0478
380,1484428179241304075,0.5904
410,1484428181652902000,0.5182
360,1484428177689411625,0.6325
140,1484428159720886347,1.0891
430,1484428182852730964,0.5013
80,1484428155241500785,1.182
90,1484428156113911858,1.1817
460,1484428185377701929,0.5373
160,1484428160782303313,1.1268
390,1484428179958534225,0.6822
130,1484428158739677237,1.192
170,1484428161352597595,1.1098
200,1484428164183625739,1.0601
440,1484428184022679602,0.5925
400,1484428180839207032,0.6746
220,1484428165895163945,1.0371
490,1484428187743289344,0.5028
450,1484428184286920715,0.5788
480,1484428187009159319,0.5266
250,1484428168235585627,0.9973
470,1484428186249855006,0.592
420,1484428182110081106,0.7244
190,1484428162871070812,1.1824
290,1484428172261855242,0.9776
180,1484428162338394213,1.2248
270,1484428170860953620,1.0544
300,1484428172912099369,1.0085
260,1484428169283895346,1.0743
230,1484428166826037358,1.145
350,1484428176695496824,1.0417
280,1484428171347628123,1.1806
320,1484428174350876782,1.1301
1,1484428147838685275,0.6307
340,1484428176003305512,1.1213
370,1484428178519883866,1.0655
41,1484428152007557271,0.606
31,1484428151361638541,0.5452
21,1484428150170451978,0.5746
91,1484428156113911858,0.5012
121,1484428158244491324,0.4445
151,1484428160253825024,0.4473
261,1484428169283895346,0.4888
211,1484428165148573806,0.6048
131,1484428158739677237,0.572
191,1484428162871070812,0.685
221,1484428165895163945,0.6686
11,1484428149281263616,1.1229
141,1484428159720886347,0.942
71,1484428154490716200,1.1418
51,1484428152632508488,1.1089
101,1484428156894183434,1.0837
171,1484428161352597595,0.9648
361,1484428177689411625,0.5231
331,1484428174933622945,0.6582
111,1484428157556887633,1.0744
341,1484428176003305512,0.5931
61,1484428153467441263,1.1773
81,1484428155241500785,1.1234
481,1484428187009159319,0.526
461,1484428185377701929,0.6556
471,1484428186249855006,0.5779
181,1484428162338394213,1.0095
241,1484428167660830811,1.0507
421,1484428182110081106,0.5219
431,1484428182852730964,0.6911
451,1484428184286920715,0.4865
441,1484428184022679602,0.6284
201,1484428164183625739,1.1937
271,1484428170860953620,1.061
281,1484428171347628123,1.05
231,1484428166826037358,1.126
321,1484428174350876782,1.085
161,1484428160782303313,1.174
251,1484428168235585627,1.1564
72,1484428154490716200,0.4433
301,1484428172912099369,1.1761
52,1484428152632508488,0.4866
371,1484428178519883866,1.1136
92,1484428156113911858,0.4256
291,1484428172261855242,1.3516
112,1484428157556887633,0.5331
122,1484428158244491324,0.5039
391,1484428179958534225,1.1624
2,1484428147838685275,0.816
82,1484428155241500785,0.6212
142,1484428159720886347,0.5377
22,1484428150170451978,0.7276
12,1484428149281263616,0.554
401,1484428180839207032,1.1126
381,1484428179241304075,1.2169
262,1484428169283895346,0.5296
212,1484428165148573806,0.5922
42,1484428152007557271,1.0089
491,1484428187743289344,1.3391
310,1484428173545574411,2.8489
332,1484428174933622945,0.5141
292,1484428172261855242,0.6669
132,1484428158739677237,0.7296
322,1484428174350876782,0.5253
152,1484428160253825024,1.0021
282,1484428171347628123,0.5882
32,1484428151361638541,1.1671
412,1484428181652902000,0.5195
62,1484428153467441263,1.1336
372,1484428178519883866,0.5845
102,1484428156894183434,1.179
172,1484428161352597595,1.1383
472,1484428186249855006,0.4937
192,1484428162871070812,1.1091
402,1484428180839207032,0.5483
222,1484428165895163945,1.0091
162,1484428160782303313,1.0627
202,1484428164183625739,1.0624
302,1484428172912099369,1.075
242,1484428167660830811,1.0787
43,1484428152007557271,0.4403
442,1484428184022679602,0.5124
452,1484428184286920715,0.5993
232,1484428166826037358,1.0637
272,1484428170860953620,1.1373
342,1484428176003305512,1.0058
182,1484428162338394213,1.0915
362,1484428177689411625,1.0781
252,1484428168235585627,1.301
73,1484428154490716200,0.6345
93,1484428156113911858,0.5796
63,1484428153467441263,0.6737
53,1484428152632508488,0.6858
193,1484428162871070812,0.5064
123,1484428158244491324,0.6056
113,1484428157556887633,0.6144
103,1484428156894183434,0.6373
462,1484428185377701929,1.1538
492,1484428187743289344,1.1769
432,1484428182852730964,1.1034
422,1484428182110081106,1.1297
223,1484428165895163945,0.5167
482,1484428187009159319,1.121
83,1484428155241500785,0.7838
133,1484428158739677237,0.5105
163,1484428160782303313,0.608
263,1484428169283895346,0.6758
153,1484428160253825024,0.9825
33,1484428151361638541,0.985
23,1484428150170451978,1.0098
333,1484428174933622945,0.4841
343,1484428176003305512,0.4846
183,1484428162338394213,0.5793
3,1484428147838685275,1.1172
382,1484428179241304075,1.3893
393,1484428179958534225,0.4281
311,1484428173545574411,1.1177
253,1484428168235585627,0.6598
173,1484428161352597595,1.074
413,1484428181652902000,0.6642
13,1484428149281263616,1.1783
473,1484428186249855006,0.5106
143,1484428159720886347,1.1721
353,1484428176695496824,0.6743
213,1484428165148573806,1.0723
403,1484428180839207032,0.5106
203,1484428164183625739,1.0641
243,1484428167660830811,1.0095
303,1484428172912099369,1.0529
293,1484428172261855242,1.0932
463,1484428185377701929,0.5893
273,1484428170860953620,1.0735
323,1484428174350876782,1.0732
443,1484428184022679602,0.5642
24,1484428150170451978,0.45
373,1484428178519883866,1.0737
